Movie Name,IMDb ID
3 Idiots,tt1187043
Taare Zameen Par,tt0986264
PK,tt2338151
Dangal,tt5074352
Rang De Basanti,tt0405508
Lagaan,tt0169102
My Name Is Khan,tt1188996
Swades,tt0367110
Gangs of Wasseypur,tt1954470
Gangs of Wasseypur – Part 2,tt1954470
Barfi!,tt2082197
Chak De! India,tt0871510
Munna Bhai M.B.B.S.,tt0374887
Bajrangi Bhaijaan,tt3863552
Dil Chahta Hai,tt0292490
Zindagi Na Milegi Dobara,tt1562872
Dilwale Dulhania Le Jayenge,tt0112870
Kal Ho Naa Ho,tt0347304
Drishyam (2015 film),tt4430212
Gunday,tt2574698
Queen (2014 film),tt4223200
Children of Heaven,tt0118849
Bhaag Milkha Bhaag,tt2356180
Kahaani,tt14993250
Ghajini (2008 film),null
Andhadhun,tt8108198
Hera Pheri (2000 film),tt11853140
Airlift,tt4387040
Baby (2015 Hindi film),tt14691078
Jab Tak Hai Jaan,tt2176013
Sholay,tt0073707
Don 2,tt1285241
Haider,tt3390572
Special 26,tt2377938
Andaz Apna Apna,tt0109117
OMG – Oh My God!,tt2283748
Veer-Zaara,tt0420332
Chennai Express,tt2112124
Kuch Kuch Hota Hai,tt0172684
The Lunchbox,tt2350496
Jab We Met,tt1093370
Sanju,tt6452574
Kabhi Khushi Kabhie Gham...,tt0248126
Dhoom 3,tt1833673
Rab Ne Bana Di Jodi,tt1182937
Fan,tt0104014
Udaan (2010 film),tt1800395
Lage Raho Munna Bhai,tt0456144
Vishwaroopam,tt2199711
Raees,tt3405236
Talaash: The Answer Lies Within,tt1787988
Vicky Donor,tt2317337
Ra.One,tt1562871
Om Shanti Om,tt1024943
Rockstar (2011 film),null
Devdas (2002 Hindi film),null
Uri: The Surgical Strike,tt8291224
Yeh Jawaani Hai Deewani,tt2178470
Sultan (2016 film),tt21078564
Pink (2016 film),tt13659462
Dear Zindagi,tt5946128
Don (2006 Hindi film),tt12460948
Happy New Year (2014 film),tt2461132
Black (2005 film),tt14215830
English Vinglish,tt2181931
Race 3,tt7431594
Paan Singh Tomar,tt1620933
Main Hoon Na,tt0347473
Dilwale (2015 film),tt4535650
M.S. Dhoni: The Untold Story,tt4169250
Fanaa (2006 film),tt0883377
Bajirao Mastani,tt3735246
Jodhaa Akbar,tt0449994
Raanjhanaa,tt2359810
Ek Tha Tiger,tt2016894
Talvar,tt4934950
Dabangg,tt1620719
Piku,tt3767372
Wake Up Sid,tt1324059
Mohabbatein,tt0213890
Delhi Belly,tt1934231
Dil Se..,tt0164538
Kai Po Che!,tt2213054
Aashiqui 2,tt2203308
Padmaavat,tt5935704
Tanu Weds Manu: Returns,tt2140465
Baazigar,tt0106333
Highway (2014 Hindi film),null
Udta Punjab,tt4434004
Anand (1971 film),tt0276169
Holiday: A Soldier Is Never Off Duty,tt2556308
Sarfarosh,tt0200087
Kaabil,
Stree (2018 film),tt12205916
Gully Boy,tt2395469
Kick (2014 film),tt12788356
2 States (2014 film),tt0433475
Dhoom 2,tt0441048
Badhaai Ho,tt7725596
Zero (2018 film),tt7880466
Gabbar Is Back,tt2424988
Madras Cafe,tt2855648
Darr,tt0109555
Agneepath (2012 film),null
Rustom,tt5165344
Bodyguard (2011 Hindi film),null
Kapoor & Sons,nm0004626
Khosla Ka Ghosla,tt0466460
Kabir Singh,tt8983202
Bang Bang!,tt0898266
Guru (2007 film),tt28175966
Raazi,tt7098658
Jo Jeeta Wohi Sikandar,tt0104561
Badlapur,tt3678782
Masaan,tt4635372
Namastey London,tt0795434
Tiger Zinda Hai,tt5956100
Rock On!!,tt1230165
Bhool Bhulaiyaa,tt0995031
Koi... Mil Gaya,tt0254481
Dil To Pagal Hai,tt0118983
Neerja,tt5286444
Ae Dil Hai Mushkil,tt4559006
Lakshya,nm7786671
Pyaar Ka Punchnama,tt1926313
Hindi Medium,tt5764096
Parmanu: The Story of Pokhran,tt6826438
The Namesake,tt0433416
Secret Superstar,tt6108090
Omkara (2006 film),null
Ugly,tt0805669
Hum Aapke Hain Koun..!,tt0110076
Sonu Ke Titu Ki Sweety,tt7581902
Wanted (2009 film),tt12466100
Jab Harry Met Sejal,tt5997666
Goliyon Ki Raasleela Ram-Leela,tt2215477
Kabhi Alvida Naa Kehna,tt0449999
Rocket Singh: Salesman of the Year,tt1434447
Black Friday (2007 film),tt13370580
Dhoom,tt0422091
Manjhi – The Mountain Man,tt3449292
Krrish,tt0432637
Tumbbad,tt8239946
Kabhi Haan Kabhi Naa,tt0110222
Prem Ratan Dhan Payo,tt3595298
Gol Maal,tt0079221
Welcome (2007 film),null
Thugs of Hindostan,tt5970844
Guzaarish,tt1438298
Hum Dil De Chuke Sanam,tt0150992
Jai Ho,tt1188982
Simmba,tt7212726
Toilet: Ek Prem Katha,tt5785170
Dum Laga Ke Haisha,tt3495030
Kaminey,tt1274295
Baadshah (1999 film),null
Badla (2019 film),tt26399838
Tere Naam,tt0374271
Once Upon a Time in Mumbaai,tt1395054
Jolly LLB,tt2621000
Oye Lucky! Lucky Oye!,tt1292703
Ek Villain,tt3175038
Bareilly Ki Barfi,tt6967980
Iqbal,nm0857290
Sarkar (2005 film),tt0432047
Detective Byomkesh Bakshy!,tt3447364
Race 2,tt1375789
Gangaajal,tt0373856
Baghban (2003 film),null
Khakee,tt23037654
Band Baaja Baaraat,tt1610452
Dabangg 2,tt2112131
Super 30,tt7485048
Phir Hera Pheri,tt0419058
Lootera,tt2224317
Newton,nm1105980
Love Aaj Kal,tt1275863
Chalte Chalte (2003 film),tt0346723
Golmaal: Fun Unlimited,tt0495034
Shahid,nm1372788
Company,tt0075596
The Legend of Bhagat Singh,tt0319736
Article 15,tt10324144
Student of the Year,tt2172071
Singh Is Kinng,tt1146325
Singham,tt1948150
Raid (2018 film),tt12205916
Dil Dhadakne Do,tt4110568
Pyaar Ka Punchnama 2,tt4430136
