Movie Name,Imdb_id,Rating,Release Date,Genres,Cast
3 Idiots,tt1187043,8.4,2009,"Comedy,Drama","Aamir Khan,Madhavan,Mona Singh,Sharman Joshi,Kareena Kapoor,Boman Irani,Omi Vaidya,Jaaved Jaaferi,Parikshit Sahni,Olivier Lafont,Rahul Kumar,Amardeep Jha,Farida Dadi,Mukund Bhatt,Chaitali Bose,Jayant Kripalani,Arun Bali"
Taare Zameen Par,tt0986264,8.3,2007,"Drama,Family","Darsheel Safary,Aamir Khan,Tanay Chheda,Sachet Engineer,Tisca Chopra,Vipin Sharma,Lalitha Lajmi,Girija Oak,Ravi Khanvilkar,Pratima V. Kulkarni,Meghna Malik,Sonali Sachdev,Sanjay Dadhich,Rajgopal Iyer,Bugs Bhargava Krishna,Shankar Sachdev,M.K. Raina"
PK,tt2338151,8.1,2014,"Comedy,Drama,Sci-Fi","Aamir Khan,Anushka Sharma,Sanjay Dutt,Boman Irani,Saurabh Shukla,Sushant Singh Rajput,Parikshit Sahni,Amardeep Jha,Plabita Borthakur,Maanvi Gagroo,Tia Sharma,Sanjiv Kishinchandani,Rajinder Sharma Nanu,Sachin Parikh,Ram Sethi,Shaji Chaudhary,Ignace De Groote"
Dangal,tt5074352,8.3,2016,"Action,Biography,Drama","Aamir Khan,Sakshi Tanwar,Fatima Sana Shaikh,Sanya Malhotra,Aparshakti Khurana,Zaira Wasim,Suhani Bhatnagar,Ritvik Sahore,Girish Kulkarni,Ravi Aneja,Anurag Arora,Mahesh Balraj,Vivan Bhatena,Anmol Charan,Karamveer Choudhary,Ishika Gagneja,Badrul Islam"
Rang De Basanti,tt0405508,8.1,2006,"Comedy,Crime,Drama","Aamir Khan,Soha Ali Khan,Siddharth,Sharman Joshi,Kunal Kapoor,Atul Kulkarni,Alice Patten,Madhavan,Waheeda Rehman,Anupam Kher,Kirron Kher,Om Puri,Steven Mackintosh,Lekh Tandon,Cyrus Sahukar,Mohan Agashe,Asif Ali Baig"
Lagaan: Once Upon a Time in India,tt0169102,8.1,2001,"Drama,Musical,Sport","Aamir Khan,Raghubir Yadav,Gracy Singh,Rachel Shelley,Paul Blackthorne,Suhasini Mulay,Kulbhushan Kharbanda,Rajendra Gupta,Rajesh Vivek,Shri Vallabh Vyas,Javed Khan Amrohi,Raj Zutshi,Akhilendra Mishra,Dayashankar Pandey,Yashpal Sharma,Amin Hajee,Pradeep Singh Rawat"
My Name Is Khan,tt1188996,7.9,2010,"Adventure,Drama,Romance","Shah Rukh Khan,Kajol,Sheetal Menon,Katie Amanda Keane,Kenton Duty,Benny Nieves,Christopher B. Duncan,Jimmy Shergill,Sonya Jehan,Parvin Dabas,Arjun Mathur,Sugandha Garg,Zarina Wahab,S.M. Zaheer,Arif Zakaria,Vinay Pathak,Sumeet Raghavan"
"Swades: We, the People",tt0367110,8.2,2004,"Drama,Musical","Shah Rukh Khan,Gayatri Joshi,Kishori Ballal,Smith Seth,Lekh Tandon,Rajesh Vivek,Dayashankar Pandey,Bachan Pachehra,Rajesh Balwani,Vishnudutt Gaur,Rahul Vohra,Farrukh Jaffar,V.M. Badola,Bhim Vakani,Dilip Ambekar,Raja Awasthi,Peter Rawley"
Gangs of Wasseypur,tt1954470,8.2,2012,"Action,Comedy,Crime","Manoj Bajpayee,Nawazuddin Siddiqui,Tigmanshu Dhulia,Richa Chadha,Reema Sen,Piyush Mishra,Huma Qureshi,Jaideep Ahlawat,Vineet Kumar Singh,Pankaj Tripathi,Jameel Khan,Zeishan Quadri,Aditya Kumar,Satyakam Anand,Rajkummar Rao,Vipin Sharma,Anurita Jha"
Gangs of Wasseypur,tt1954470,8.2,2012,"Action,Comedy,Crime","Manoj Bajpayee,Nawazuddin Siddiqui,Tigmanshu Dhulia,Richa Chadha,Reema Sen,Piyush Mishra,Huma Qureshi,Jaideep Ahlawat,Vineet Kumar Singh,Pankaj Tripathi,Jameel Khan,Zeishan Quadri,Aditya Kumar,Satyakam Anand,Rajkummar Rao,Vipin Sharma,Anurita Jha"
Barfi!,tt2082197,8.1,2012,"Comedy,Drama,Romance","Ranbir Kapoor,Priyanka Chopra Jonas,Ileana D'Cruz,Saurabh Shukla,Roopa Ganguly,Ashish Vidyarthi,Bholaraj Sapkota,Jisshu Sengupta,Haradhan Bannerjee,Akash Khurana,Arun Bali,Uday Tikekar,Preiti Mamgain,Sumona Chakravarti,Sujata Sehgal,Kenneth Desai,Neeraj Khetrapal"
Chak De! India,tt0871510,8.1,2007,"Drama,Family,Sport","Shah Rukh Khan,Vidya Malvade,Sagarika Ghatge,Shilpa Shukla,Chitrashi Rawat,Tanya Abrol,Arya Menon,Seema Azmi,Nisha Nair,Sandia Furtado,Masochon V. Zimik,Kimi Laldawla,Shubhi Mehta,Anaitha Nair,Kimberly Miranda,Nichola Sequeira,Raynia Mascerhanas"
Munna Bhai M.B.B.S.,tt0374887,8.1,2003,"Comedy,Drama","Sanjay Dutt,Arshad Warsi,Gracy Singh,Boman Irani,Sunil Dutt,Rohini Hattangadi,Kurush Deboo,Jimmy Shergill,Yatin Karyekar,Khurshed Lawyer,Bomie E. Dotiwala,Rohitash Gaud,Priya Bapat,Rita Puri,Surendra Rajan,Mumait Khan,Suresh Chatwal"
Bajrangi Bhaijaan,tt3863552,8.1,2015,"Action,Adventure,Comedy","Salman Khan,Harshaali Malhotra,Nawazuddin Siddiqui,Kareena Kapoor,Sharat Saxena,Alka Badola Kaushal,Om Puri,Meher Vij,Rajesh Sharma,Mir Sarwar,Khushaal Pawar,Krunal Pandit,Manoj Bakshi,Mursaleem Qureshi,Yudhvir Dahiya,Adnan Sami,Sunil Chitkara"
Dil Chahta Hai,tt0292490,8.1,2001,"Comedy,Drama,Romance","Aamir Khan,Saif Ali Khan,Akshaye Khanna,Preity G Zinta,Sonali Kulkarni,Dimple Kapadia,Ayub Khan,Rajat Kapoor,Suhasini Mulay,Ahmed Khan,Suchitra Pillai,Anjula Bedi,Rakesh Pandey,Samantha Tremayne,Claire,Clarence,Asad Dadarkar"
Zindagi Na Milegi Dobara,tt1562872,8.2,2011,"Comedy,Drama,Musical","Hrithik Roshan,Farhan Akhtar,Abhay Deol,Katrina Kaif,Kalki Koechlin,Ariadna Cabrol,Naseeruddin Shah,Deepti Naval,Supreet Bedi,Anisa Butt,Juan Jose Amador,Aashrita Kamath,Lolo Herrero,Barbara Holzer,Ravi Khemu,Pino Losada,Raaghavv Chanana"
Dilwale Dulhania Le Jayenge,tt0112870,8.0,1995,"Drama,Romance","Shah Rukh Khan,Kajol,Amrish Puri,Farida Jalal,Anupam Kher,Parmeet Sethi,Mandira Bedi,Satish Shah,Himani Shivpuri,Pooja Ruparel,Achala Sachdev,Damyanti Puri,Lalit Tiwari,Hemlata Deepak,Mohit Kumar,Mansoor Merchant,Govind Khatri"
Kal Ho Naa Ho,tt0347304,7.9,2003,"Comedy,Drama,Musical","Preity G Zinta,Shah Rukh Khan,Saif Ali Khan,Jaya Bachchan,Sushma Seth,Reema Lagoo,Lillete Dubey,Delnaaz Irani,Rani Mukerji,Athit Naik,Jhanak Shukla,Sonali Bendre,Satish Shah,Sulabha Arya,Rajpal Naurang Yadav,Ketki Dave,Kamini Khanna"
Drishyam,tt4430212,8.2,2015,"Crime,Drama,Mystery","Ajay Devgn,Shriya Saran,Tabu,Rajat Kapoor,Ishita Dutta,Mrunal Jadhav,Rishab Chadha,Prasanna Ketkar,Kamlesh Sawant,Yogesh Sonam,Yogesh Soman,Prathamesh Parab,Sharad Bhutadiya,Samar Parshuram,Ashish Warang,Anil Nagarkar,Tarun Shukla"
Gunday,tt2574698,2.7,2014,"Action,Drama,Musical","Ranveer Singh,Arjun Kapoor,Priyanka Chopra Jonas,Irrfan Khan,Karan Aanand,Victor Banerjee,Prasanjit Chatterjee,Diwakar Dhyani,Darshan Gurjar,Uttam Halder,Susanta Joddar,Jayesh Kardak,Elly Meyers,Ajay Pathania,Deepraj Rana,Saurabh Shukla,Gautam Siddhartha"
Galactic Film Festival Queen,tt4223200,N/A,IMDbPro,Reality-TV,"Dawna Lee Heising,L.J. Rivera"
Bacheha-Ye Aseman,tt0118849,8.2,1997,"Drama,Family,Sport","Mohammad Amir Naji,Amir Farrokh Hashemian,Bahare Seddiqi,Nafise Jafar-Mohammadi,Fereshte Sarabandi,Kamal Mirkarimi,Behzad Rafi,Dariush Mokhtari,Mohammad-Hasan Hosseinian,Masume Dair,Kambiz Peykarnegar,Hasan Roohparvari,Abbas-Ali Roomandi,Jafar Seyfollahi,Qolamreza Maleki,Zahra Mirzai,Sara Zamani"
Bhaag Milkha Bhaag,tt2356180,8.2,2013,"Biography,Drama,Sport","Farhan Akhtar,Deepak Singh Rawat,Japtej Singh,Divya Dutta,Pawan Malhotra,Yograj Singh,Art Malik,Sonam Kapoor,Saurabh Agnihotri,Siddharth Bhardwaj,Jass Bhatia,Rebecca Breeds,Divjot Singh Chandhok,Chinmay Chandraunshuh,Chandan Gill,Dev Gill,Shveta Grover"
Rocky Aur Rani Kii Prem Kahaani,tt14993250,6.8,2023,"Comedy,Drama,Family","Ranveer Singh,Alia Bhatt,Dharmendra,Shabana Azmi,Jaya Bachchan,Tota Roy Chowdhury,Churni Ganguly,Aamir Bashir,Kshitee Jog,Anjali Anand,Namit Das,Sheeba Agarwal,Vibha Anand,Hittesh Arrora,Shraddha Arya,Jayati Bhatia,Karamveer Choudhary"
Andhadhun,tt8108198,8.2,2018,"Crime,Mystery,Thriller","Tabu,Ayushmann Khurrana,Radhika Apte,Anil Dhawan,Manav Vij,Zakir Hussain,Ashwini Kalsekar,Chhaya Kadam,Pawan Singh,Rashmi Agdekar,Kabir Sajid Shaikh,Gopal Singh,Mahesh Rale,Mohini Kewalramani,Franco Vaz,Surabhi Sharma,Jaydutt Vyas"
Edward Payson's 2020 An Anti-Hero Genre Film Festival,tt11853140,9.9,Cast & crew,"News,Talk-Show","Dawna Lee Heising,Robert Amico,Edward Payson,Aki Aleong,Michael Coulombe"
Airlift,tt4387040,7.9,2016,"Action,Drama,History","Akshay Kumar,Nimrat Kaur,Kumud Mishra,Prakash Belawadi,Inaamulhaq,Lena,Nissar Khan,Ninad Kamat,Kaizaad Kotwal,Feryna Wazheir,Ajay Kumar,Purab Kohli,Gunjan Malhotra,Pooja Nair,Taranjit Kaur,Ajay Arya,Avtar Gill"
Harshal Kumar-Baby Beautiful-Best Romantic Hindi Songs 2018,tt14691078,N/A,IMDbPro,"Short,Music",Babloo Kumar
Jab Tak Hai Jaan,tt2176013,6.7,2012,"Drama,Romance","Shah Rukh Khan,Katrina Kaif,Anushka Sharma,Anupam Kher,Lucy Phelps,Rishi Kapoor,Julia St John,Susan Fordham,Andrew Bicknell,Sarika Thakur,Neetu Singh,Sharib Hashmi,Lee Nicholas Harris,Kumud Pant,Atul Sharma,Manoj Bakshi,Varun Thakur"
Sholay,tt0073707,8.1,1975,"Action,Adventure,Comedy","Sanjeev Kumar,Dharmendra,Amitabh Bachchan,Amjad Khan,Hema Malini,Jaya Bachchan,A.K. Hangal,Satyendra Kapoor,Iftekhar,Leela Mishra,Mac Mohan,Sachin Pilgaonkar,Govardhan Asrani,Viju Khote,Major Anand,Bihari,Alankar Joshi"
Don 2,tt1285241,7.1,2011,"Action,Crime,Thriller","Shah Rukh Khan,Florian Lukas,Om Puri,Priyanka Chopra Jonas,Boman Irani,Lara Dutta,Kunal Kapoor,Nawab Shah,Alyy Khan,Sahil Shroff,Leonard Benhaus,Hrithik Roshan,Andreas Adam,Marco Ammer,Günter Barton,Sasan Bhaktiari,Hans-Eckart Eckhardt"
Haider,tt3390572,8.0,2014,"Action,Crime,Drama","Shahid Kapoor,Tabu,Shraddha Kapoor,Kay Kay Menon,Narendra Jha,Kulbhushan Kharbanda,Lalit Parimoo,Ashish Vidyarthi,Aamir Bashir,Sumit Kaul,Rajat Bhagat,Ashwath Bhatt,Irrfan Khan,Anshuman Malhotra,Lankesh Bhardwaj,Sameer Bhat,Javaid Khan"
Special Chabbis,tt2377938,8.0,2013,"Crime,Drama,Thriller","Akshay Kumar,Anupam Kher,Manoj Bajpayee,Jimmy Shergill,Kajal Aggarwal,Divya Dutta,Kishore Kadam,Rajesh Sharma,Deepraj Rana,Vipin Sharma,Sukhwinder Chahal,Abha Parmar,Mukesh S. Bhatt,Ujjwal Chopra,Tiku Talsania,Paritosh Sand,Aparna Ghoshal"
Andaz Apna Apna,tt0109117,8.0,1994,"Action,Comedy,Romance","Aamir Khan,Salman Khan,Raveena Tandon,Karisma Kapoor,Paresh Rawal,Shakti Kapoor,Shehzad Khan,Viju Khote,Deven Verma,Jagdeep,Mehmood,Tiku Talsania,Suresh Bhagwat,Harish Patel,Javed Khan Amrohi,Anand Mishra,Sanjay Batra"
OMG: Oh My God!,tt2283748,8.1,2012,"Comedy,Drama,Fantasy","Paresh Rawal,Akshay Kumar,Mithun Chakraborty,Mahesh Manjrekar,Govind Namdeo,Om Puri,Lubna Salim,Nikhil Ratnaparkhi,Murli Sharma,Poonam Jhawer,Yusuf Hussain,Jaineeraj Rajpurohit,Nidhi Subbaiah,Apoorva Arora,Azaan Shah,Honey Chhaya,Krunal Pandit"
